n,mean_ess_norm,mean_abs_error,mean_squared_error,diagnostic,estimator,ci_method,ess_bin_low,ess_bin_high,cross_estimator_abs_error_spread,cross_estimator_mse_spread,env_name,coverage_rate,mean_width,median_width,mean_error,mean_half_width,coverage_gap,bias_to_half_width_ratio
1844,0.023887942447010743,0.933154983162914,13.261395080182997,ess,IS-PDIS,,0.00114,0.0439,0.6789783368532791,13.131298282111173,,,,,,,,
1843,0.07209289190599628,0.40576728685160096,0.41145160829835675,ess,IS-PDIS,,0.0439,0.108,0.5022405526334051,0.6564076319220806,,,,,,,,
1843,0.20477648678005722,0.25440127295171755,0.1403118479829248,ess,IS-PDIS,,0.108,0.315,0.5062633996933288,0.6051021230729067,,,,,,,,
1843,0.4974150779434792,0.17750432402883812,0.05749209273116849,ess,IS-PDIS,,0.315,0.863,0.5758768176688445,0.6959185790991855,,,,,,,,
1843,0.8822711529028265,0.12759055968964686,0.030099476216060645,ess,IS-PDIS,,0.863,0.933,0.6071087217877896,0.7454030512603743,,,,,,,,
1844,0.023887942447010743,0.3235809613885641,2.6674901912496076,ess,DR,,0.00114,0.0439,0.6789783368532791,13.131298282111173,,,,,,,,
1843,0.07209289190599628,0.15384617194167355,0.05866873949245311,ess,DR,,0.0439,0.108,0.5022405526334051,0.6564076319220806,,,,,,,,
1843,0.20477648678005722,0.1142022822115744,0.034087131263805345,ess,DR,,0.108,0.315,0.5062633996933288,0.6051021230729067,,,,,,,,
1843,0.4974150779434792,0.07693155449845185,0.010588552423196467,ess,DR,,0.315,0.863,0.5758768176688445,0.6959185790991855,,,,,,,,
1843,0.8822711529028265,0.05751473199177784,0.006233555487110363,ess,DR,,0.863,0.933,0.6071087217877896,0.7454030512603743,,,,,,,,
1844,0.023887942447010743,0.2541766463096348,0.13009679807182306,ess,DM,,0.00114,0.0439,0.6789783368532791,13.131298282111173,,,,,,,,
1843,0.07209289190599628,0.3160632562121243,0.20692998523793416,ess,DM,,0.0439,0.108,0.5022405526334051,0.6564076319220806,,,,,,,,
1843,0.20477648678005722,0.2958573559869826,0.18315924140900053,ess,DM,,0.108,0.315,0.5062633996933288,0.6051021230729067,,,,,,,,
1843,0.4974150779434792,0.2881133889728338,0.17284243399223967,ess,DM,,0.315,0.863,0.5758768176688445,0.6959185790991855,,,,,,,,
1843,0.8822711529028265,0.2540485206332715,0.14472796013139796,ess,DM,,0.863,0.933,0.6071087217877896,0.7454030512603743,,,,,,,,
1844,0.023887942447010743,0.6239032237282232,0.6355826942765458,ess,FQE,,0.00114,0.0439,0.6789783368532791,13.131298282111173,,,,,,,,
1843,0.07209289190599628,0.6560867245750786,0.7150763714145337,ess,FQE,,0.0439,0.108,0.5022405526334051,0.6564076319220806,,,,,,,,
1843,0.20477648678005722,0.6204656819049031,0.639189254336712,ess,FQE,,0.108,0.315,0.5062633996933288,0.6051021230729067,,,,,,,,
1843,0.4974150779434792,0.6528083721672964,0.706507131522382,ess,FQE,,0.315,0.863,0.5758768176688445,0.6959185790991855,,,,,,,,
1843,0.8822711529028265,0.6646234537795674,0.7516366067474847,ess,FQE,,0.863,0.933,0.6071087217877896,0.7454030512603743,,,,,,,,
9216,,0.281648852374346,,ci,DM,analytic,,,0.4983408620997264,0.0015842013888890394,random_mdp,,,,0.05108292810898053,,,
9216,,0.281648852374346,,ci,DM,bootstrap,,,0.4983408620997264,0.9019097222222222,random_mdp,0.22178819444444445,0.1921039870008485,0.1911772919763113,0.05108292810898053,0.09605199350042426,-0.7282118055555555,0.5318257981678943
9216,,0.14523449433663646,,ci,DR,analytic,,,0.4983408620997264,0.0015842013888890394,random_mdp,0.9544270833333334,0.6519043761586436,0.4274705803333819,-0.010250855644366057,0.3259521880793218,0.004427083333333415,0.03144895484448004
9216,,0.14523449433663646,,ci,DR,bootstrap,,,0.4983408620997264,0.9019097222222222,random_mdp,0.9135199652777778,0.6017057135351329,0.4060187556109819,-0.010250855644366057,0.30085285676756646,-0.036480034722222165,0.03407265516606241
9216,,0.6435753564363629,,ci,FQE,analytic,,,0.4983408620997264,0.0015842013888890394,random_mdp,,,,0.11164429775157554,,,
9216,,0.6435753564363629,,ci,FQE,bootstrap,,,0.4983408620997264,0.9019097222222222,random_mdp,0.011610243055555556,0.034890192892580316,0.02927018809947397,0.11164429775157554,0.017445096446290158,-0.9383897569444444,6.399752394336439
9216,,0.3797437408163083,,ci,IS-PDIS,analytic,,,0.4983408620997264,0.0015842013888890394,random_mdp,0.9471571180555556,1.711854767467723,1.0313188467580987,-0.01932848265475398,0.8559273837338615,-0.0028428819444443754,0.02258191877263726
9216,,0.3797437408163083,,ci,IS-PDIS,bootstrap,,,0.4983408620997264,0.9019097222222222,random_mdp,0.9100477430555556,1.5825642557227044,0.9864084233315094,-0.01932848265475398,0.7912821278613522,-0.039952256944444375,0.02442679036236327
